N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
124,TIGER 미국테크TOP10 INDXX,"26,790",110,+0.41%,0,"33,956","126,750",0.08,"699,779",N/A,N/A,
125,포스코DX,"21,700",50,-0.23%,500,"32,992","152,035",3.15,"49,162",42.30,17.92,
126,산일전기,"105,700",200,-0.19%,500,"32,181","30,445",11.81,"220,502",26.69,29.88,
127,HD현대마린엔진,"93,400",100,+0.11%,"2,500","31,683","33,921",12.68,"118,367",34.72,28.34,
128,롯데지주,"29,850",50,-0.17%,200,"31,315","104,909",8.12,"97,083",-3.16,-15.56,
129,서울보증보험,"44,600",250,-0.56%,"2,500","31,140","69,822",0.87,"24,974",14.61,4.12,
130,대한조선,"80,400","1,200",-1.47%,"5,000","30,975","38,526",0.49,"89,763",6.45,55.26,
131,에스원,"80,700","1,000",+1.25%,500,"30,665","37,999",56.14,"7,687",16.41,10.85,
132,KODEX 미국나스닥100,"21,625",45,-0.21%,0,"30,643","141,700",0.03,"268,807",N/A,N/A,
133,현대엘리베이터,"77,100",400,+0.52%,"5,000","30,140","39,092",25.81,"22,436",12.77,14.42,
134,대한전선,"15,320",80,+0.52%,"1,000","28,564","186,447",6.97,"182,313",98.21,5.85,
135,TIGER 200,"43,060",130,+0.30%,0,"28,463","66,100",10.90,"280,103",N/A,N/A,
136,금호석유화학,"106,100",600,-0.56%,"5,000","28,074","26,460",18.43,"19,604",10.78,5.88,
